Reporting_Date,Reporting_Project_Count,Total_PV,Total_EV,Total_AC,Total_Contingency_Used,Total_Approved_CO_Value,Total_Pending_CO_Value,Weighted_CPI,Weighted_SPI
2022-01-31,12,68918300,65318600,69611200,4982000,853800,249700,0.93833464,0.94776859
2022-02-28,12,93272900,88288200,95549300,7194000,853800,270800,0.92400677,0.9465579
2022-03-31,15,123806400,117117900,125526900,9965600,1783600,270800,0.93301037,0.94597614
2022-04-30,16,157794700,149404900,161460200,12319600,1969100,319300,0.92533578,0.94683091
2022-05-31,18,198445200,188124700,203010800,15171100,3005100,319300,0.92667336,0.9479932
2022-06-30,20,243360700,230974100,251258700,17885500,3443500,471000,0.91926807,0.94910189
2022-07-31,23,295805800,281094000,308427800,21168700,4048600,471000,0.91137699,0.95026534
2022-08-31,26,354482400,338144600,373245100,23496900,4825300,2660200,0.90595858,0.95391083
2022-09-30,28,417025100,399097300,440202950,26902900,6223200,2660200,0.90662114,0.95701026
2022-10-31,32,487775300,468035500,511369900,30744000,8943100,2660200,0.91525821,0.95953096
2022-11-30,33,564259400,541762100,591784100,34233300,9629200,2938200,0.91547255,0.96012951
2022-12-31,33,619782200,594186000,648918900,39917100,11178400,3141200,0.91565525,0.9587013
2023-01-31,33,712885800,684068600,748496300,43401000,11853400,3168100,0.91392382,0.9595767
2023-02-28,36,801689700,770209700,839803100,47861700,13276000,3977600,0.91713129,0.96073294
2023-03-31,37,905438300,869627000,955560600,50856900,15965200,4065600,0.91006996,0.96044866
2023-04-30,40,954370900,913392400,997491900,53256000,16673700,3884000,0.91568904,0.95706229
2023-05-31,42,1070882200,1024698400,1114951400,56178500,18068800,4528500,0.91905208,0.95687313
2023-06-30,43,1191882500,1141037400,1245030700,62542300,18778700,4623800,0.9164733,0.95734051
2023-07-31,42,1180844300,1125644300,1234139800,62236600,22114600,4383200,0.91208816,0.95325379
2023-08-31,44,1319673600,1259958600,1380239600,67132100,23275500,4534600,0.91285499,0.95475017
2023-09-30,44,1394755100,1331179800,1448309500,67063400,23178100,4486100,0.91912661,0.95441831
2023-10-31,45,1541353900,1474218300,1605255100,72338600,23852800,5473700,0.91837011,0.95644375
2023-11-30,45,1675281400,1603120500,1740530600,78329600,25040800,5473700,0.92105275,0.9569261
2023-12-31,49,1821560600,1745583400,1910601100,88392300,28436000,5749000,0.91363048,0.95829005
2024-01-31,51,1967986000,1887773400,2069794000,92895900,29364700,5904400,0.91205859,0.95924128
2024-02-29,48,1848118600,1766746400,1947213200,88993600,27829700,7337200,0.90732047,0.95597025
2024-03-31,50,1996797200,1915498900,2127650600,97676700,31101700,7558300,0.90028828,0.95928565
2024-04-30,50,2074962500,1994155600,2218839800,102589300,38600700,9111400,0.89873798,0.96105621
2024-05-31,47,2011425600,1931863200,2170420500,101830200,37404900,11269900,0.89008706,0.96044477
2024-06-30,46,2082149800,2002440700,2240674700,104520700,37103300,10992100,0.89367756,0.96171788
2024-07-31,47,2227592400,2146834300,2395782200,110992500,38550200,10749800,0.89608909,0.96374646
2024-08-31,45,2046919800,1966740700,2189156050,104323300,33369800,8383500,0.89840133,0.96082939
2024-09-30,46,2129417400,2050089000,2283304300,112168500,37646500,9459600,0.89786061,0.96274643
2024-10-31,47,2207573400,2127232900,2359414000,116480400,37866400,8981100,0.90159374,0.96360687
2024-11-30,46,2318142100,2236423900,2503308300,124218000,43092100,9909200,0.89338732,0.96474841
2024-12-31,43,2224958400,2142835400,2380188200,120484800,45839900,9469900,0.90027982,0.9630901
2025-01-31,43,2393277000,2312039500,2578264000,127154900,49011900,9469900,0.89674273,0.96605596
2025-02-28,42,2459201700,2377584700,2639042300,130480700,51070900,9802200,0.90092709,0.96681159
2025-03-31,42,2616903100,2532632000,2826432100,139454400,54746400,10828500,0.89605266,0.96779739
2025-04-30,41,2643380900,2553920100,2854496600,141682900,56002400,12823200,0.8947007,0.96615667
2025-05-31,37,2502671700,2403722300,2704427800,138387900,59349400,12364400,0.88880994,0.96046249
2025-06-30,35,2595297200,2491899900,2803873000,141101100,61280800,12890600,0.88873494,0.96015975
2025-07-31,33,2522503100,2417740600,2736985000,141234200,66260800,13286300,0.8833591,0.95846883
2025-08-31,31,2264039800,2161799800,2441593800,121415600,60920100,15172000,0.88540518,0.95484178
2025-09-30,29,1974164900,1878423300,2139704350,104140000,53007100,15252400,0.87788918,0.95150273
2025-10-31,26,1937441000,1849505100,2124101300,103203900,54932600,14713500,0.87072359,0.95461235
2025-11-30,25,1976530000,1896811900,2179745400,104104000,57847800,14373700,0.87019883,0.95966765
2025-12-31,25,2052866200,1981777000,2281320500,108753300,60600000,14542600,0.86869732,0.96537076
