Metric,Value
Project_Count,75
Total_BAC,5831436600
Total_Current_Budget,5983179800
Total_Actual_Cost,6112861900
Total_EAC,6586989965.696901
Total_Forecast_Overrun,760043765.696901
Net_VAC,-755553365.696901
Total_Approved_CO,151618700
Total_Pending_CO,30891200
Total_Contingency,424522200
Total_Contingency_Used,281143400
Weighted_CPI,0.8841653
Weighted_SPI,0.98717227
Average_Delay_Days,33.68
Median_Delay_Days,38
Red_Projects,50
Yellow_Projects,13
Green_Projects,12
Forecast_Overrun_Pct,0.12956556
Approved_CO_Pct,0.02600023
Pending_CO_Pct,0.00529736
Contingency_Utilization_Pct,0.66225842
