State,Project_Count,Total_BAC,Weighted_CPI,Weighted_SPI,Forecast_Overrun_Pct,Average_Delay_Days,Median_Delay_Days,Average_Approved_CO_Pct,Average_RFI_Response_Days,Red_Project_Count,Red_Project_Rate
AZ,9,914266100,0.85325049,0.96520638,0.17212668,49.88888889,44,0.02648537,15.24425991,8,0.88888889
CA,10,501651700,0.87572863,0.99721,0.14175329,28.3,29.0,0.01994585,13.59920807,5,0.5
CO,5,463500100,0.91922545,0.99913131,0.08780869,33.4,50,0.01949162,13.69135484,3,0.6
ID,8,487506900,0.85191338,0.99883513,0.16975218,43.375,41.5,0.0226937,14.60967404,5,0.625
NM,12,1408821900,0.88295585,0.98637932,0.1341137,29.66666667,37.5,0.02877096,15.1057436,10,0.83333333
NV,6,473523200,0.90573105,0.97457333,0.10826994,34.83333333,51.5,0.02280984,14.8483434,4,0.66666667
OR,8,550817000,0.90295219,0.99789323,0.10396368,11.375,14.5,0.01700196,13.57537786,3,0.375
TX,6,501649800,0.89577239,0.99426998,0.10493783,41.66666667,42.5,0.0309518,13.17030019,5,0.83333333
UT,6,267657500,0.86666475,0.99702078,0.15335087,42,47.5,0.0160152,15.3913273,5,0.83333333
WA,5,262042400,0.96282029,0.97698692,0.04753107,24.4,21,0.0114628,14.05108492,2,0.4
