Generated_UTC,Priority_Rank,Project_ID,Project_Name,Health_Status,CPI,SPI,Forecast_Overrun_Pct,Schedule_Delay_Days,Contingency_Utilization_Pct,Primary_Risk_Driver,All_Risk_Triggers,Recommended_Workflow
2026-07-30T00:26:38+00:00,1,PRJ-075,Canyon Ridge Transit-Oriented Development,Red,0.75260692,0.99717498,0.32871485,73,1.07075513,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 90%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,2,PRJ-009,Northstar Housing,Red,0.7547896,1.0,0.32487252,63,1.05596116,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 90%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,3,PRJ-046,Red Rock Residences,Red,0.77900852,1.0,0.28368301,84,1.07094142,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 90%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,4,PRJ-068,Canyon Ridge Bridge Rehabilitation,Red,0.79425652,1.0,0.25903908,55,0.95449697,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 90%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,5,PRJ-034,Mountain Gate Community College,Red,0.8053175,1.0,0.24174626,38,0.91351411,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 90%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,6,PRJ-017,Westfield Retail Center,Red,0.81359736,0.98792964,0.2291092,48,0.91574989,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 90%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,7,PRJ-064,Evergreen Townhomes,Red,0.81579162,1.0,0.22580323,34,0.92446512,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 90%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,8,PRJ-013,Sunrise Housing,Red,0.81926471,1.0,0.22060671,61,0.91719954,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 90%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,9,PRJ-069,Cedar Valley Town Center,Red,0.84916348,0.84762418,0.17762954,104,0.6112148,CPI < 0.90,CPI < 0.90; SPI < 0.90; Forecast overrun > 10%; Delay > 30 days,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,10,PRJ-025,Blue Mesa Public Safety Center,Red,0.8927144,0.86886629,0.12017908,87,0.33045318,CPI < 0.90,CPI < 0.90; SPI < 0.90; Forecast overrun > 10%; Delay > 30 days,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,11,PRJ-014,Mountain Gate Bridge Rehabilitation,Red,0.80512504,0.93795176,0.24204309,74,0.76392467,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; SPI < 0.95; Contingency used > 75%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,12,PRJ-024,Northstar Technology Facility,Red,0.80894317,0.94508089,0.23618079,43,0.87266672,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; SPI < 0.95; Contingency used > 75%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,13,PRJ-030,Wasatch View Town Center,Red,0.82744358,1.0,0.20854162,94,0.82575106,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 75%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,14,PRJ-038,Mountain Gate Business Park,Red,0.82907628,1.0,0.20616164,101,0.76482633,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 75%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,15,PRJ-056,Evergreen Medical Center,Red,0.83149995,1.0,0.2026459,45,0.82242102,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 75%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,16,PRJ-067,Wasatch View Retail Center,Red,0.83387221,1.0,0.19922453,40,0.87133875,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 75%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,17,PRJ-074,Evergreen Civic Center,Red,0.84411322,1.0,0.1846752,78,0.84114329,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 75%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,18,PRJ-060,Mesa Vista Office Center,Red,0.8470598,1.0,0.1805542,66,0.74413657,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,19,PRJ-062,Riverbend Distribution Center,Red,0.84797396,0.92412241,0.1792815,56,0.45383335,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; SPI < 0.95,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,20,PRJ-032,Silver Lake Distribution Center,Red,0.85243545,1.0,0.17310935,58,0.76061011,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 75%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,21,PRJ-020,Granite Peak Housing,Red,0.85590657,1.0,0.16835182,41,0.79503025,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 75%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,22,PRJ-004,Red Rock Urban Village,Red,0.8560814,1.0,0.16811322,48,0.77130577,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 75%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,23,PRJ-002,Westfield Town Center,Red,0.8571248,1.0,0.16669125,69,0.74944428,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,24,PRJ-040,Silver Lake Learning Center,Red,0.85723378,1.0,0.16654292,67,0.76397827,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 75%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,25,PRJ-070,Wasatch View Main Street Development,Red,0.85985997,0.95766522,0.16298005,61,0.7375841,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,26,PRJ-053,Summit Point Bridge Rehabilitation,Red,0.86200086,0.9928574,0.16009165,34,0.80680854,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 75%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,27,PRJ-018,Summit Point Retail Center,Red,0.86948673,1.0,0.15010381,65,0.68901529,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,28,PRJ-061,Riverbend Business Park,Red,0.87237468,1.0,0.14629646,44,0.75431489,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 75%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,29,PRJ-063,Copper Creek Water Program,Red,0.87802173,0.95778563,0.13892398,35,0.67388459,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,30,PRJ-027,Pioneer Crossing Market Hall,Red,0.87984782,0.95477704,0.13656018,40,0.65768322,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,31,PRJ-035,Copper Creek Transit-Oriented Development,Red,0.88111667,1.0,0.13492348,50,0.68768117,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,32,PRJ-065,Pioneer Crossing Logistics Hub,Red,0.88236841,1.0,0.13331346,58,0.63240257,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,33,PRJ-043,Copper Creek Logistics Hub,Red,0.89267448,1.0,0.12022917,38,0.7683599,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days; Contingency used > 75%,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,34,PRJ-039,Riverbend Civic Center,Red,0.89499023,1.0,0.11733063,47,0.52366903,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,35,PRJ-058,Silver Lake Civic Center,Red,0.89541523,1.0,0.1168003,55,0.65045297,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,36,PRJ-003,Mountain Gate Living Community,Red,0.89678065,1.0,0.11509989,42,0.5914181,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days,Immediate executive/project-controls review
2026-07-30T00:26:38+00:00,37,PRJ-072,Riverbend Residences,Red,0.89736769,1.0,0.1143704,50,0.59520083,CPI < 0.90,CPI < 0.90; Forecast overrun > 10%; Delay > 30 days,Immediate executive/project-controls review
