Change_Order_ID,Project_ID,Change_Title,Change_Category,Responsible_Party,Submitted_Date,Approved_Date,Submitted_Value,Approved_Value,Schedule_Impact_Days,Change_Status,Discipline
CO-00006,PRJ-001,Weather Impact - Electrical package,Weather Impact,External,2024-10-07,2024-11-13,109500,108600,0,Approved,Electrical
CO-00002,PRJ-001,Utility Conflict - Mechanical package,Utility Conflict,External,2024-12-01,2025-01-27,140900,111000,13,Approved,Mechanical
CO-00005,PRJ-001,Design Error or Omission - Civil package,Design Error or Omission,Designer,2025-02-24,2025-04-08,226000,178700,7,Approved,Civil
CO-00004,PRJ-001,Scope Clarification - Mechanical package,Scope Clarification,Owner,2025-06-18,2025-07-02,59800,46100,0,Approved,Mechanical
CO-00001,PRJ-001,Utility Conflict - Fire Protection package,Utility Conflict,External,2025-08-16,2025-10-01,155400,135100,7,Approved,Fire Protection
CO-00003,PRJ-001,Contractor-Requested Change - Architectural package,Contractor-Requested Change,Contractor,2025-12-28,2026-02-13,43700,43800,0,Approved,Architectural
CO-00014,PRJ-002,Owner-Directed Change - Plumbing package,Owner-Directed Change,Owner,2022-07-28,2022-09-12,1416100,1094500,6,Approved,Plumbing
CO-00012,PRJ-002,Material Substitution - Plumbing package,Material Substitution,Contractor,2022-08-28,,975700,,0,Pending,Plumbing
CO-00010,PRJ-002,Scope Clarification - Plumbing package,Scope Clarification,Owner,2022-09-13,2022-10-24,2623700,2671700,5,Approved,Plumbing
CO-00009,PRJ-002,Utility Conflict - Structural package,Utility Conflict,External,2023-02-10,2023-03-27,2649100,2405900,0,Approved,Structural
CO-00007,PRJ-002,Owner-Directed Change - Plumbing package,Owner-Directed Change,Owner,2024-02-21,,588000,,1,Pending,Plumbing
CO-00008,PRJ-002,Scope Clarification - Structural package,Scope Clarification,Owner,2024-05-29,,573200,,11,Rejected,Structural
CO-00013,PRJ-002,Scope Clarification - Structural package,Scope Clarification,Owner,2024-06-11,2024-08-04,1142100,1065300,8,Approved,Structural
CO-00011,PRJ-002,Design Error or Omission - Fire Protection package,Design Error or Omission,Designer,2024-08-18,,2021400,,11,Withdrawn,Fire Protection
CO-00015,PRJ-002,Design Error or Omission - Electrical package,Design Error or Omission,Designer,2024-11-08,2024-12-21,1341400,1243500,4,Approved,Electrical
CO-00020,PRJ-003,Unforeseen Condition - Architectural package,Unforeseen Condition,External,2023-06-13,2023-07-21,209500,153300,19,Approved,Architectural
CO-00021,PRJ-003,Utility Conflict - Architectural package,Utility Conflict,External,2023-08-06,2023-09-13,115000,84800,23,Approved,Architectural
CO-00017,PRJ-003,Owner-Directed Change - Mechanical package,Owner-Directed Change,Owner,2023-12-31,2024-01-31,312300,266600,8,Approved,Mechanical
CO-00022,PRJ-003,Material Substitution - Civil package,Material Substitution,Contractor,2024-03-13,,181900,,0,Rejected,Civil
CO-00019,PRJ-003,Owner-Directed Change - Plumbing package,Owner-Directed Change,Owner,2024-04-26,2024-06-13,137500,123800,1,Approved,Plumbing
CO-00016,PRJ-003,Design Error or Omission - Electrical package,Design Error or Omission,Designer,2024-10-25,2024-12-14,75600,76400,1,Approved,Electrical
CO-00018,PRJ-003,Owner-Directed Change - Architectural package,Owner-Directed Change,Owner,2025-05-05,2025-05-08,407700,399100,8,Approved,Architectural
CO-00026,PRJ-004,Contractor-Requested Change - Fire Protection package,Contractor-Requested Change,Contractor,2023-01-31,,867400,,9,Withdrawn,Fire Protection
CO-00023,PRJ-004,Utility Conflict - Architectural package,Utility Conflict,External,2023-11-21,2024-02-01,184000,161900,13,Approved,Architectural
CO-00027,PRJ-004,Design Error or Omission - Civil package,Design Error or Omission,Designer,2024-02-24,,113700,,14,Rejected,Civil
CO-00028,PRJ-004,Coordination Issue - Architectural package,Coordination Issue,Contractor,2024-05-20,2024-07-17,157200,114900,9,Approved,Architectural
CO-00029,PRJ-004,Owner-Directed Change - Plumbing package,Owner-Directed Change,Owner,2024-12-20,2025-02-02,1530800,1217900,1,Approved,Plumbing
CO-00024,PRJ-004,Unforeseen Condition - Mechanical package,Unforeseen Condition,External,2025-04-14,2025-06-12,1005600,967000,13,Approved,Mechanical
CO-00025,PRJ-004,Owner-Directed Change - Structural package,Owner-Directed Change,Owner,2025-07-07,2025-08-19,1010400,891800,8,Approved,Structural
CO-00034,PRJ-005,Material Substitution - Electrical package,Material Substitution,Contractor,2022-11-09,2023-01-03,176600,145200,8,Approved,Electrical
CO-00033,PRJ-005,Coordination Issue - Structural package,Coordination Issue,Contractor,2023-05-03,,346500,,0,Pending,Structural
CO-00035,PRJ-005,Contractor-Requested Change - Civil package,Contractor-Requested Change,Contractor,2024-07-27,2024-08-21,181400,162200,4,Approved,Civil
CO-00032,PRJ-005,Coordination Issue - Structural package,Coordination Issue,Contractor,2024-08-02,,378200,,5,Pending,Structural
CO-00031,PRJ-005,Unforeseen Condition - Fire Protection package,Unforeseen Condition,External,2024-12-01,2025-01-01,139600,122400,8,Approved,Fire Protection
CO-00030,PRJ-005,Contractor-Requested Change - Structural package,Contractor-Requested Change,Contractor,2024-12-30,2025-01-02,177900,179900,3,Approved,Structural
CO-00036,PRJ-005,Contractor-Requested Change - Fire Protection package,Contractor-Requested Change,Contractor,2025-01-13,2025-02-11,353000,261900,9,Approved,Fire Protection
CO-00037,PRJ-005,Unforeseen Condition - Architectural package,Unforeseen Condition,External,2025-02-26,2025-03-26,234100,178800,16,Approved,Architectural
CO-00039,PRJ-006,Coordination Issue - Electrical package,Coordination Issue,Contractor,2021-08-26,,45000,,10,Rejected,Electrical
CO-00042,PRJ-006,Contractor-Requested Change - Civil package,Contractor-Requested Change,Contractor,2021-10-12,2021-10-26,149400,135300,2,Approved,Civil
CO-00038,PRJ-006,Coordination Issue - Civil package,Coordination Issue,Contractor,2021-11-01,2021-12-30,85200,82800,3,Approved,Civil
CO-00043,PRJ-006,Unforeseen Condition - Fire Protection package,Unforeseen Condition,External,2023-10-31,2023-12-28,175400,166400,8,Approved,Fire Protection
CO-00041,PRJ-006,Coordination Issue - Architectural package,Coordination Issue,Contractor,2024-09-26,,292500,,6,Rejected,Architectural
CO-00040,PRJ-006,Design Error or Omission - Civil package,Design Error or Omission,Designer,2024-12-05,2025-02-03,62700,50300,0,Approved,Civil
CO-00046,PRJ-007,Design Error or Omission - Fire Protection package,Design Error or Omission,Designer,2023-09-23,2023-12-04,120400,91300,0,Approved,Fire Protection
CO-00045,PRJ-007,Design Error or Omission - Electrical package,Design Error or Omission,Designer,2023-10-17,2023-10-28,77100,76700,1,Approved,Electrical
CO-00047,PRJ-007,Utility Conflict - Civil package,Utility Conflict,External,2024-03-07,2024-03-28,74000,75600,8,Approved,Civil
CO-00044,PRJ-007,Unforeseen Condition - Fire Protection package,Unforeseen Condition,External,2024-11-15,,146400,,20,Rejected,Fire Protection
CO-00049,PRJ-007,Utility Conflict - Structural package,Utility Conflict,External,2025-06-26,2025-08-15,288700,225000,19,Approved,Structural
CO-00050,PRJ-007,Weather Impact - Plumbing package,Weather Impact,External,2025-10-19,2025-12-27,30200,22500,14,Approved,Plumbing
CO-00048,PRJ-007,Code or Regulatory Requirement - Electrical package,Code or Regulatory Requirement,External,2025-12-09,2026-02-23,56100,56000,0,Approved,Electrical
CO-00054,PRJ-008,Owner-Directed Change - Fire Protection package,Owner-Directed Change,Owner,2023-12-07,2024-02-04,979200,731300,13,Approved,Fire Protection
CO-00060,PRJ-008,Scope Clarification - Architectural package,Scope Clarification,Owner,2024-04-24,,96800,,0,Rejected,Architectural
CO-00055,PRJ-008,Contractor-Requested Change - Structural package,Contractor-Requested Change,Contractor,2024-05-05,,453300,,6,Rejected,Structural
CO-00057,PRJ-008,Weather Impact - Plumbing package,Weather Impact,External,2024-08-07,2024-10-19,90100,66700,5,Approved,Plumbing
CO-00058,PRJ-008,Design Error or Omission - Electrical package,Design Error or Omission,Designer,2024-08-09,2024-10-11,1094000,843400,8,Approved,Electrical
CO-00059,PRJ-008,Scope Clarification - Civil package,Scope Clarification,Owner,2024-08-30,2024-09-10,352300,347800,7,Approved,Civil
