Performance_Record_ID,Project_ID,Reporting_Date,Planned_Value,Earned_Value,Actual_Cost,Percent_Complete,Committed_Cost,Contingency_Used,Forecast_End_Date,Open_RFI_Count,Pending_CO_Value,Approved_CO_Value
PERF-000001,PRJ-001,2024-06-30,205500,175900,181400,0.4,10184000,76700,2025-12-11,0,0,0
PERF-000002,PRJ-001,2024-07-31,1211500,1039900,1088500,2.2,10184000,128100,2025-12-11,0,0,0
PERF-000003,PRJ-001,2024-08-31,2962200,2551200,2666300,5.3,14761300,161400,2025-12-12,0,0,0
PERF-000004,PRJ-001,2024-09-30,5267700,4552900,4688100,9.5,14761300,350700,2025-12-14,0,0,0
PERF-000005,PRJ-001,2024-10-31,8180300,7098500,7320800,14.8,14761300,350700,2025-12-17,1,0,0
PERF-000006,PRJ-001,2024-11-30,11415300,9947200,10412800,20.8,18643900,505000,2025-12-21,0,0,108600
PERF-000007,PRJ-001,2024-12-31,15087200,13209100,13670700,27.6,22439700,637500,2025-12-25,0,0,108600
PERF-000008,PRJ-001,2025-01-31,18990500,16713300,17481400,34.9,28765800,640700,2025-12-29,1,0,219600
PERF-000009,PRJ-001,2025-02-28,22628500,20018300,21337900,41.8,30152900,640700,2026-01-02,0,0,219600
PERF-000010,PRJ-001,2025-03-31,26685100,23756800,25476200,49.6,35506500,810400,2026-01-06,0,0,219600
PERF-000011,PRJ-001,2025-04-30,30544800,27379300,28626100,57.2,35506500,1018500,2026-01-10,3,0,398300
PERF-000012,PRJ-001,2025-05-31,34363700,31047500,33397100,64.8,41385300,1076500,2026-01-14,1,0,398300
PERF-000013,PRJ-001,2025-06-30,37798600,34448200,37599900,72.0,47766900,1302000,2026-01-18,1,0,398300
PERF-000014,PRJ-001,2025-07-31,40977100,37728200,40376200,78.8,52774300,1302000,2026-01-22,1,0,444400
PERF-000015,PRJ-001,2025-08-31,43675900,40689200,42553100,85.0,52774300,1329300,2026-01-23,3,0,444400
PERF-000016,PRJ-001,2025-09-30,45732900,43173500,45747000,90.2,52774300,1601000,2026-01-23,2,0,444400
PERF-000017,PRJ-001,2025-10-31,47183900,45267000,48769700,94.5,53129000,1601000,2026-01-23,2,0,579500
PERF-000018,PRJ-001,2025-11-30,47838600,46758200,49956700,97.7,53129000,1708600,2026-01-23,3,0,579500
PERF-000019,PRJ-001,2025-12-31,47876900,47666400,51257800,99.6,53129000,1708600,2026-01-23,4,0,579500
PERF-000020,PRJ-002,2022-04-30,184300,155000,165700,0.1,53819000,524500,2024-05-20,0,0,0
PERF-000021,PRJ-002,2022-05-31,2052800,1731400,1889200,0.8,54528600,783200,2024-05-20,0,0,0
PERF-000022,PRJ-002,2022-06-30,5647700,4775100,5170400,2.2,59060800,821200,2024-05-20,1,0,0
PERF-000023,PRJ-002,2022-07-31,11040500,9359300,10004200,4.4,59060800,821200,2024-05-21,1,0,0
PERF-000024,PRJ-002,2022-08-31,17968100,15274600,16748800,7.2,73965100,1177900,2024-05-23,1,975700,0
PERF-000025,PRJ-002,2022-09-30,25970800,22141100,24508900,10.4,85682100,1177900,2024-05-26,1,975700,1094500
PERF-000026,PRJ-002,2022-10-31,35414000,30286900,33205500,14.2,85682100,2019800,2024-05-29,3,975700,3766200
PERF-000027,PRJ-002,2022-11-30,45527800,39062500,42051700,18.3,85682100,2616100,2024-06-02,2,975700,3766200
