Project_ID,Project_Name,Project_Type,City,State,Client_Type,Contract_Type,Delivery_Method,Project_Manager_ID,Original_Budget,Current_Budget,Original_Contingency,Start_Date,Planned_End_Date,Forecast_End_Date,Project_Status,Current_Phase,Percent_Complete
PRJ-001,Desert Willow Public Safety Center,Institutional,Salt Lake City,UT,Public,Lump Sum,CMAR,PM-008,47876900,48500200,2996700,06/09/2024,2025-12-09,2026-01-23,Active,Closeout,99.6
PRJ-002,Westfield Town Center,Mixed-Use,Salem,OR,Public,Guaranteed Maximum Price,CMAR,PM-005,212894800,221375700,11291700,2022-04-17,2024-05-17,2024-07-25,Complete,Closeout,100.0
PRJ-003,Mountain Gate Living Community,Residential,Santa Fe,NM,Private,Guaranteed Maximum Price,Design-Build,PM-004,"$55,221,600",56325600,3875600,2023-02-11,2025-03-11,2025-04-22,Complete,Closeout,100.0
PRJ-004,Red Rock Urban Village,Mixed-Use,Albuquerque,NM,Private,Lump Sum,Design-Bid-Build,PM-007,118914500,122268000,6654300,2022-05-19,2025-01-19,2025-03-08,Complete,Closeout,100.0
PRJ-005,Pioneer Crossing Living Community,residential,Mesa,AZ,Private,Lump Sum,Design-Bid-Build,PM-006,76603500,77653900,4401700,2022-10-01,2024-09-01,2024-08-29,Complete,Closeout,100.0
PRJ-006,Red Rock Bridge Rehabilitation,Heavy Civil & Infrastructure,Idaho Falls,ID,Public,Unit Price,Design-Bid-Build,PM-002,36211800,36646600,1839800,2021-07-05,2024-09-05,2024-09-15,Complete,Closeout,100.0
PRJ-007,Granite Peak Apartments,Residential,Salem,OR,Public,Guaranteed Maximum Price,Design-Bid-Build,PM-007,29562600,30109700,1625900,2023-09-02,2025-06-02,2025-06-18,Complete,Closeout,100.0
PRJ-008,Northstar Community College,Institutional,Las Cruces,NM,Private,Lump Sum,Design-Bid-Build,PM-012,122227200,127351100,6535400,2023-08-07,2025-07-07,2025-07-30,Complete,Closeout,100.0
PRJ-009,Northstar Housing,Residential,Salt Lake City,UT,Private,Guaranteed Maximum Price,Design-Build,PM-002,34594800,35471700,2739400,2021-12-12,2023-04-12,2023-06-14,Complete,Closeout,100.0
PRJ-010,Silver Lake Bridge Rehabilitation,Heavy Civil & Infrastructure,Fort Collins,CO,Public,Lump Sum,CMAR,PM-009,115348100,116127800,9324700,2022-03-20,2024-02-20,2024-01-21,Complete,Closeout,100.0
PRJ-011,Westfield Housing,Residential,Mesa,AZ,Public,Guaranteed Maximum Price,Design-Bid-Build,PM-006,27228800,27507400,2455500,2022-08-14,2023-12-14,2024-01-13,Complete,Closeout,100.0
PRJ-012,Cedar Valley Processing Plant,Industrial,Henderson,NV,Public,Cost Plus,Design-Bid-Build,PM-009,23128700,23520900,1511200,2022-11-02,2025-06-02,2025-05-24,Complete,Closeout,100.0
PRJ-013,Sunrise Housing,Residential,Meridian,ID,Private,Cost Plus,Design-Bid-Build,PM-005,9869600,10215500,609900,2022-08-11,2024-05-11,2024-07-11,Complete,Closeout,100.0
PRJ-014,Mountain Gate Bridge Rehabilitation,Heavy Civil & Infrastructure,Las Vegas,NV,Public,Unit Price,Design-Build,PM-008,102493600,105736500,7725500,2023-12-10,2026-05-10,2026-07-23,Active,Construction,88.3
PRJ-015,Summit Point Main Street Development,Mixed-Use ,Fresno,CA,Public,Guaranteed Maximum Price,Design-Bid-Build,PM-007,60271400,60423500,4382900,2022-03-14,2024-07-14,2024-07-10,Complete,Closeout,100.0
PRJ-016,Canyon Ridge Processing Plant,Industrial,Salt Lake City,UT,Private,Lump Sum,Design-Build,PM-008,56509100,56919400,5602900,2021-08-17,03/17/2023,2023-03-28,Complete,Closeout,100.0
PRJ-017,Westfield Retail Center,Commercial,Fresno,CA,Private,,CMAR,PM-003,36594000,37286000,1781600,2023-11-07,2026-01-07,2026-02-24,Active,Closeout,98.8
PRJ-018,Summit Point Retail Center,Commercial,Tempe,AZ,Private,Lump Sum,Design-Build,PM-012,86603400,89995700,5291900,2024-01-18,2025-02-18,2025-04-24,Complete,Closeout,100.0
PRJ-019,Copper Creek Learning Center,Institutional,San Antonio,TX,Private,,Design-Bid-Build,PM-012,102004800,104613700,9598300,2024-11-13,2026-12-13,2026-12-08,Active,Construction,57.0
PRJ-020,Granite Peak Housing,Residential,Mesa,AZ,Public,,Design-Build,PM-001,35061100,35288000,3074600,2023-10-16,2025-08-16,2025-09-26,Complete,Closeout,100.0
