RFI_ID,Project_ID,RFI_Title,Discipline,Submitted_Date,Required_Response_Date,Response_Date,RFI_Status,Response_Days,Responsible_Party,Cost_Impact,Schedule_Impact_Days,Priority
RFI-00001,PRJ-001,Mechanical clarification item 1,Mechanical,2025-12-26,2026-01-05,2026-01-09,Answered,14,Designer,0,0,Normal
RFI-00002,PRJ-001,Architectural clarification item 2,Architectural,2025-04-10,2025-04-24,2025-05-01,Answered,21,Designer,0,0,Low
RFI-00003,PRJ-001,Architectural clarification item 3,Architectural,2024-11-05,2024-11-15,2024-11-16,Closed,11,Designer,0,0,Normal
RFI-00004,PRJ-001,Structural clarification item 4,Structural,2025-06-02,2025-06-12,2025-06-23,Answered,21,Designer,0,0,Normal
RFI-00005,PRJ-001,Plumbing clarification item 5,Plumbing,2024-10-22,2024-11-05,2024-11-02,Closed,11,Designer,0,0,Low
RFI-00006,PRJ-001,Electrical clarification item 6,Electrical,2025-02-06,2025-02-13,2025-02-27,Closed,21,Designer,26800,3,High
RFI-00007,PRJ-001,Civil clarification item 7,Civil,2025-04-25,2025-05-05,2025-05-20,Closed,25,Designer,0,0,Normal
RFI-00008,PRJ-001,Civil clarification item 8,Civil,2025-04-26,2025-05-03,,Open,,Contractor,10800,5,High
RFI-00009,PRJ-001,Electrical clarification item 9,Electrical,2025-11-22,2025-11-29,,Open,,Designer,0,0,High
RFI-00010,PRJ-001,Architectural clarification item 10,Architectural,2025-07-09,2025-07-16,2025-07-21,Closed,12,Contractor,0,0,High
RFI-00011,PRJ-001,Civil clarification item 11,Civil,2024-12-02,2024-12-12,2024-12-27,Closed,25,Owner,0,0,Normal
RFI-00012,PRJ-001,Architectural clarification item 12,Architectural,2025-02-22,2025-03-04,2025-02-27,Closed,5,Contractor,0,0,Normal
RFI-00013,PRJ-001,Mechanical clarification item 13,Mechanical,2025-08-21,2025-08-31,2025-09-02,Answered,12,Designer,0,0,Normal
RFI-00014,PRJ-001,General clarification item 14,General,2024-09-05,2024-09-12,2024-09-17,Answered,12,Designer,13100,5,High
RFI-00015,PRJ-001,Fire Protection clarification item 15,Fire Protection,2025-01-21,2025-01-31,2025-02-09,Answered,19,Designer,0,0,Normal
RFI-00016,PRJ-001,Structural clarification item 16,Structural,2024-08-06,2024-08-09,2024-08-23,Answered,17,Designer,0,0,Critical
RFI-00017,PRJ-001,Civil clarification item 17,Civil,2025-08-13,2025-08-27,,Open,,Designer,0,0,Low
RFI-00018,PRJ-002,Mechanical clarification item 18,Mechanical,2024-05-04,2024-05-14,2024-06-01,Answered,28,Contractor,0,0,Normal
RFI-00019,PRJ-002,Fire Protection clarification item 19,Fire Protection,2024-08-29,2024-09-08,2024-09-09,Closed,11,Owner,0,0,Normal
RFI-00020,PRJ-002,Fire Protection clarification item 20,Fire Protection,2024-08-19,2024-08-29,2024-09-03,Answered,15,Designer,0,0,Normal
RFI-00021,PRJ-002,Mechanical clarification item 21,Mechanical,2022-10-21,2022-10-31,2022-11-15,Closed,25,Designer,0,0,Normal
RFI-00022,PRJ-002,General clarification item 22,General,2024-03-01,2024-03-11,,Open,,Designer,17700,8,Normal
RFI-00023,PRJ-002,Fire Protection clarification item 23,Fire Protection,2024-03-21,2024-03-31,2024-04-07,Answered,17,Owner,0,0,Normal
RFI-00024,PRJ-002,Architectural clarification item 24,Architectural,2024-07-07,2024-07-17,2024-07-25,Answered,18,Designer,0,0,Normal
RFI-00025,PRJ-002,Electrical clarification item 25,Electrical,2022-10-06,2022-10-16,2022-10-29,Closed,23,Designer,0,0,Normal
RFI-00026,PRJ-002,Fire Protection clarification item 26,Fire Protection,2023-03-10,2023-03-17,2023-03-29,Closed,19,Contractor,0,0,High
RFI-00027,PRJ-002,Plumbing clarification item 27,Plumbing,2023-10-18,2023-10-28,2023-11-06,Answered,19,Designer,0,0,Normal
RFI-00028,PRJ-002,Architectural clarification item 28,Architectural,2023-05-17,2023-05-20,2023-05-25,Answered,8,Designer,0,0,Critical
RFI-00029,PRJ-002,Mechanical clarification item 29,Mechanical,2023-05-15,2023-05-25,2023-05-26,Closed,11,Designer,31500,3,Normal
RFI-00030,PRJ-002,Mechanical clarification item 30,Mechanical,2024-08-02,2024-08-12,2024-08-15,Closed,13,Owner,6200,2,Normal
RFI-00031,PRJ-002,Architectural clarification item 31,Architectural,2023-11-13,2023-11-23,2023-12-06,Answered,23,Designer,26000,3,Normal
RFI-00032,PRJ-002,Civil clarification item 32,Civil,2022-10-20,2022-10-30,,Answered,13,Contractor,0,0,Normal
RFI-00033,PRJ-002,Mechanical clarification item 33,Mechanical,2023-03-19,2023-03-29,2023-04-07,Answered,19,Contractor,0,0,Normal
RFI-00034,PRJ-002,Electrical clarification item 34,Electrical,2022-11-30,2022-12-07,2022-12-11,Answered,11,Owner,0,0,High
RFI-00035,PRJ-002,Architectural clarification item 35,Architectural,2022-06-28,2022-07-05,,Open,,External,0,0,High
RFI-00036,PRJ-003,Architectural clarification item 36,Architectural,2024-10-10,2024-10-17,,Open,,Designer,0,0,High
RFI-00037,PRJ-003,Civil clarification item 37,Civil,2024-05-29,2024-06-08,2024-06-13,Closed,15,Designer,0,0,Normal
RFI-00038,PRJ-003,Mechanical clarification item 38,Mechanical,2025-09-22,2025-10-02,2025-10-13,Answered,21,Owner,10200,0,Normal
RFI-00039,PRJ-003 ,Architectural clarification item 39,Architectural,2025-10-10,2025-10-20,2025-10-25,Answered,15,Owner,0,0,Normal
RFI-00040,PRJ-003,Civil clarification item 40,Civil,2023-09-03,2023-09-13,2023-09-21,Closed,18,Owner,5700,3,Normal
RFI-00041,PRJ-003,Mechanical clarification item 41,Mechanical,2024-12-24,2025-01-03,,Open,,Contractor,152300,10,Normal
RFI-00042,PRJ-003,Plumbing clarification item 42,Plumbing,2025-03-24,2025-04-03,2025-04-02,Answered,9,Contractor,31000,3,Normal
RFI-00043,PRJ-003,Structural clarification item 43,Structural,2024-02-21,2024-02-24,2024-03-07,Answered,15,Designer,0,0,Critical
